t	level_1	0.025	0.25	0.5	0.75	0.975
205.0	0	0.1438360141541833	0.26353342785995404	0.3586033917692898	0.45604357554679514	0.6673224714769668
206.0	0	0.1456902490746625	0.2661326980136402	0.3631552248735346	0.46012082158304024	0.6729386447536121
207.0	0	0.1473275891698189	0.2686239092329875	0.3663062262662155	0.4640842189192017	0.6793742227630856
208.0	0	0.14895178150694982	0.2706867832067257	0.369160399861398	0.467840871419502	0.6858505703109318
209.0	0	0.15058586959913092	0.2727497097453278	0.37203074244728185	0.47200713104227365	0.692162099737927
210.0	0	0.15222386061058374	0.2748127363594014	0.3756373006652131	0.47596683761312936	0.6979352923571568
211.0	0	0.15386447852372012	0.27687595262956366	0.3790599801000662	0.4799255768471296	0.7037084849763865
212.0	0	0.15550858765752795	0.27939267879250157	0.38171017876659324	0.4838835892913722	0.7094816775956162
213.0	0	0.15722390789294602	0.28254051400588087	0.3843721930308357	0.48784123930845696	0.7152548702148457
214.0	0	0.15860543015985498	0.28569917724170196	0.3882077228920304	0.49186847626899743	0.721028062834075
215.0	0	0.16011114086502568	0.2888729055426875	0.3920776048872619	0.49742974858254824	0.7268012554533035
216.0	0	0.16160647619398877	0.2919517750616637	0.39577807285108796	0.5019420583484582	0.7324772375887427
217.0	0	0.1631212161083036	0.2945247586857461	0.3998525127624389	0.506537126944917	0.7381092137676672
218.0	0	0.16466268628856973	0.2967066688178471	0.4035045934340711	0.5116286302111741	0.7445645421273724
219.0	0	0.16623977023254297	0.29921794775821636	0.40718920199164055	0.5167440092357598	0.7507498748353401
220.0	0	0.16781849739375526	0.3023838666288352	0.41069426527407515	0.5216284434378208	0.757730400131222
221.0	0	0.1693784801396213	0.30516645888162675	0.4138731483121802	0.5266017738481168	0.7643732272463177
222.0	0	0.17092167197892924	0.3077667325097881	0.417109910024087	0.5316321900349366	0.7697935961643272
223.0	0	0.1724499296333341	0.3117003094216312	0.4208024276360484	0.5350479215478344	0.7757827746544511
224.0	0	0.1739649791281953	0.3142741622178389	0.42464010669251373	0.5399591397834248	0.7828886898483572
225.0	0	0.17546839727649952	0.31704715778874176	0.42914971870076885	0.5448090738434229	0.7899931413224617
226.0	0	0.1769616046731186	0.320292517023052	0.43328739120026627	0.5485498027241337	0.7970960761698654
227.0	0	0.17844590157350457	0.32292487394307107	0.4372628027220109	0.5531810209822162	0.8041974448417973
228.0	0	0.17992244772898863	0.3255993961898956	0.44093871540612806	0.5581770305385082	0.8110048774741091
229.0	0	0.1813923161838154	0.3287269804768789	0.4451516816155875	0.5631120224915698	0.8177726979324461
230.0	0	0.18285656951354923	0.3315961084974721	0.4489060346760906	0.568045939286137	0.8245365763876572
231.0	0	0.18456731434858448	0.334500960210995	0.45351258118630877	0.5731104649671496	0.8312964293666402
232.0	0	0.186363527779203	0.33716450698659545	0.45733111642915764	0.5782724024140774	0.8380521806269015
233.0	0	0.18816080772192517	0.33992072841134624	0.4614518103177185	0.5835644460190949	0.8448037604816198
234.0	0	0.1899645258691193	0.34281073531938594	0.46514342597740016	0.5881304645849907	0.851453005648444
235.0	0	0.19190798484407384	0.34573866556916355	0.4687691507454063	0.5923100713938251	0.8575252349306022
236.0	0	0.19361101421311547	0.3489531627314062	0.47239331426434217	0.5965761328797743	0.86362377846019
237.0	0	0.19521030898811964	0.3520638891686605	0.47629655159641127	0.6024115251807516	0.8697542854836994
