prob_fn	mu_0	omega_mu	sigma_0	omega_sigma	prob_tx	prob_bd_given_prev_tx	mu_tx	sigma_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx	trans_form
0.062424225	4.1003387	0.7287154	0.49167293	0.3877677	0.11414312	0.96211095	3.1673334	0.74202126	-0.29170243	-18.297515	1.0359662	1.0	1.1310715e-08	1.0	0.027252025	0.0073079533	ve
0.062873055	4.0914954	0.71335611	0.47442878	0.37416176	0.11597676	0.94231503	2.4788443	0.83588109	2.1589668	-18.656812	-0.40713602	1.0	7.8967669e-09	1.0	0.044360636	0.0073100847	ve
0.057981596	4.1040218	0.72078741	0.50153928	0.37614166	0.12269904	0.90317677	2.1962865	0.31082694	1.7972134	-18.598751	-1.3619275	1.0	8.3688387e-09	1.0	0.03565405	0.01222927	ve
0.068400125	4.0992023	0.70710867	0.48071895	0.37047786	0.11801459	0.97998767	2.6120603	0.85956762	-1.9122997	-18.662699	0.83419895	1.0	7.8504202e-09	1.0	0.026625549	0.0088618882	ve
0.070529109	4.1075283	0.70624321	0.48478219	0.3728908	0.10088111	0.96360671	3.0932412	0.65834282	5.0417973	-18.582678	-0.47162179	1.0	8.5044317e-09	1.0	0.030342335	0.0077478648	ve
0.064038778	4.1152039	0.71498227	0.50009748	0.37567683	0.1260169	0.93626427	2.6324083	0.34243045	-4.5537139	-18.706815	1.570334	1.0	7.511616e-09	1.0	0.035634845	0.00014250487	ve
0.059839362	4.1082693	0.72403021	0.50581417	0.36624299	0.1244709	0.93891947	2.536198	0.34562528	3.6334629	-18.560568	0.97475875	1.0	8.6945655e-09	1.0	0.037259458	0.00036216019	ve
0.057550755	4.1070541	0.71622055	0.49792856	0.37214536	0.12369957	0.92439532	2.7397884	0.27594039	-0.87749515	-18.50615	-0.82566238	1.0	9.180814e-09	1.0	0.034609033	0.0008901164	ve
0.066399588	4.1033495	0.68612523	0.48764615	0.37728714	0.10913106	0.91562546	2.751224	0.20788203	3.095209	-18.592803	0.48355963	1.0	8.418765e-09	1.0	0.031784234	0.0075549693	ve
0.055569089	4.0963073	0.71536345	0.47669051	0.37243995	0.13392965	0.97145227	2.515279	0.27309386	-6.4822413	-18.619662	0.65232101	1.0	8.1956535e-09	1.0	0.030046684	0.0043377174	ve
0.056028089	4.0983049	0.7137816	0.47570081	0.37681415	0.13096622	0.97010344	2.4272363	0.38771903	-9.1794191	-18.597874	0.74794099	1.0	8.376182e-09	1.0	0.030642883	0.0060458493	ve
0.058857017	4.0836289	0.72470879	0.48752974	0.38793528	0.1152429	0.87126671	2.4749768	0.15241999	0.50996444	-18.599771	-1.2916118	1.0	8.3603074e-09	1.0	0.033133215	0.014451677	ve
0.059785525	4.1019933	0.71279824	0.4789788	0.41281081	0.11671896	0.96931	3.9065069	0.36569555	-3.7649405	-18.578208	-0.75374228	1.0	8.5425355e-09	1.0	0.027098148	0.0077396898	ve
0.058308153	4.0919385	0.70719036	0.49088096	0.40754494	0.12561959	0.96819174	2.545325	1.390621	-4.4185621	-18.41529	-0.043013632	1.0	1.0054057e-08	1.0	0.031234705	0.011414239	ve
0.059077815	4.0907987	0.69362315	0.49448988	0.38961557	0.11886494	0.8875721	3.1985111	0.47304631	4.2728223	-18.706761	0.028367822	1.0	7.5120214e-09	1.0	0.030348044	0.0090630991	ve
0.069997536	4.1177105	0.69421193	0.4874258	0.43954872	0.11569479	0.96051986	1.9066222	0.86150327	1.5176903	-18.604587	0.3658331	1.0	8.3201359e-09	1.0	0.036565912	0.012808314	ve
0.067059359	4.1095967	0.7017464	0.47661124	0.44590016	0.11673118	0.8616341	3.394013	0.51799693	-1.0772703	-18.584411	0.77076723	1.0	8.4897106e-09	1.0	0.029463788	0.00045315867	ve
0.070563069	4.1020255	0.70363226	0.48015641	0.43503455	0.11373711	0.88201641	2.2769399	0.40783588	3.917742	-18.491203	1.6074704	1.0	9.3190738e-09	1.0	0.02879094	0.00077412576	ve
0.058132375	4.107572	0.69008712	0.47964612	0.45308926	0.11909519	0.96946606	3.0374142	0.75395245	-8.907298	-18.631033	-0.86513234	1.0	8.1029842e-09	1.0	0.032946961	0.0093828634	ve
